ID GNB,Comercio,Categoría web,Resumen web,Vigencia web final,Vigencia PDF,Vigencia PDF final,Beneficio PDF,Condiciones PDF,PDF páginas,PDF SHA256,URL promoción,URL bases,Alertas
260,La Ruta Gastronómica,Días GNB,Hasta 25% de reintegro los días sábados y domingos.,2026-11-29,Del 05 de septiembre al 29 de noviembre del 2026.,2026-11-29,"• 25% de reintegro para pagos con tarjetas de crédito Mastercard Black, Black Premier y Metalcard Premier. • 20% de reintegro para pagos con tarjetas de crédito Mastercard Clásica y Oro.","• Exclusivo para pagos realizados con tarjetas de crédito Mastercard del Banco GNB Paraguay S.A.E.C.A. • Pagos realizados con tarjetas de crédito física, Apple Pay, Google Pay y/o QR en POS adheridos a la procesadora . • No participan de la promoción las tarjetas de débito; tarjetas de crédito marca VISA; afinidades Empresariales, Corporativas, Gift Card, Gourmet Card y Prepagas. • Beneficio no acumulable con otras promociones. • Beneficio aplica única y exclusivamente los días Sábados y Domingos durante el periodo de la promoción. • La promoción aplica para pagos realizados a través del delivery propio de los locales. • No aplica para pagos realizados a través de plataformas de terceros como Pedidos ya, Monchis entre otros. • Ticket mínimo de compra: Gs. 250.000 (guaraníes doscientos cincuenta mil) para aplicar al reintegro, compras menores no aplican a la promoción. • Tope de compra mensual en el conjunto de locales adheridos: Gs. 1.000.000 (guaranies un millón) por cuenta de tarjeta de crédito (incluye titulares y adicionales). • Beneficio aplica a las sucursales de los comercios adheridos detallados más abajo. • Los reclamos serán considerados válidos únicamente en base al último documento actualizado, el cual debe corresponder al que se encuentre vigente en la fecha de la compra reclamada.",4,ab22914b6af58975c1f605ec53d4c2f1beae28a3a1694ca7cfe08026ea3a50d8,https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/260,https://www.beneficiosbancognb.com.py/imagenes/4295_bases-y-condiciones-la-ruta-gastr%C3%B3nomica-002-.pdf,
408,Bares & Restó,Días GNB,Hasta 25% de descuento de miércoles a domingos.,2026-12-31,Del 02 de enero del 31 de diciembre del 2026,,• Hasta 25% de reintegro* 20% de reintegro para pagos con tarjetas de crédito Mastercard del Banco GNB Paraguay. +5% de reintegro adicional para pagos con QR con tarjetas de crédito Mastercard a través de la app Banco GNB Personas.,"• Pagos realizados con tarjetas de crédito Mastercard del Banco GNB Paraguay S.A.E.C.A. • Pagos realizados con tarjetas de crédito física, Apple Pay, Google Pay y/o QR en POS adheridos a la procesadora . • No participan de la promoción las tarjetas de débito y crédito Visa, de afinidades Empresariales, Corporativas, Gift Card, Gourmet y Prepagas. • No aplica para pagos realizados a través de plataformas de terceros (Pedidos Ya, Monchis, entre otros) y/o e-commerce. • No acumulable con otras promociones. • La promoción aplica de miércoles a domingos dentro del periodo de vigencia de la promoción. • Tope de compra mensual en el conjunto de locales adheridos: Gs. 1.500.000 (guaranies un millón quinientos mil) por cuenta de tarjeta de crédito (incluye titulares y adicionales). • Beneficio aplica a todas las sucursales de los comercios adheridos detallados más abajo. • Los reclamos serán considerados válidos únicamente en base al último documento actualizado, el cual debe corresponder al que se encuentre vigente en la fecha de la compra reclamada.",2,d7ec9b1c71f61d7541fb85c774eb96ee08f2fe413c549f72a2f109d100df596c,https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/408,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,
148,Copetrol,Días GNB,Hasta 30% off los lunes.,2026-12-28,Del 06 de julio al 28 de diciembre del 2026.,2026-12-28,"Todos los LUNES (DÍAS GNB-COPETROL) Hasta 20% de descuento. Hasta 30% de descuento. Con Tarjetas de Crédito Con Tarjetas de Crédito -MASTERCARD- -MASTERCARD- CLÁSICAS Y ORO. BLACK, BLACK PREMIER Y METALCARD PREMIER. 15% off para pagos con + 5% adicional para 25% off para pagos + 5% adicional para tarjeta de crédito física. pagos con QR con con tarjeta de crédito pagos con QR con tarjeta de crédito a física. tarjeta de crédito a través de la App GNB o través de la App GNB Copetrol Vamos*. o Copetrol Vamos*. Tope de compra mensual por cuenta de Tarjeta de crédito (Incluye titulares y adicionales) Gs. 1.000.000 (guaraníes un millón) Equivalente a un Equivalente a un Equivalente a un Equivalente a un reintegro máximo de Gs. reintegro máximo de reintegro máximo de reintegro máximo de 150.000 Gs. 200.000 Gs. 250.000. Gs. 300.000 (Tarjeta de crédito (QR) (Tarjeta de crédito (QR) física) física)","• Pagos realizados con tarjetas de crédito Mastercard Banco GNB Paraguay S.A.E.C.A. • Pagos realizados con tarjetas de crédito física, Apple Pay, Google Pay y/o QR en POS adheridos a la procesadora . • No participan de la promoción las tarjetas de débito y crédito Visa y afinidades Empresariales, Corporativas, Gift Card, Gourmet y Prepagas. • Promoción válida los días Lunes dentro del periodo de la promoción. • No acumulable con otras promociones. • No aplica compras realizadas a través de plataformas de terceros. • Aplica para pagos con la app “Copetrol Vamos” en Estaciones Seleccionadas a partir del 17/06/2024*. • El beneficio en Copemarket aplica para compras en tienda física y online. • Los reclamos serán considerados válidos únicamente en base al último documento actualizado, el cual debe corresponder al que se encuentre vigente en la fecha de la compra reclamada.",2,162c08ef8d3616c5ddfeaafd26b095bc22f07e7b8e1ef2b8b2329227b1f78e47,https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/148,https://www.beneficiosbancognb.com.py/imagenes/3872_bases-y-condiciones-copetrol-julio.pdf,
543,GNB Travel+,Días GNB,Hasta Gs. 2.000.000 de descuento máximo + Hasta 18 cuotas sin intereses todos los días.,2026-12-31,Del 01 de septiembre al 31 de diciembre del 2026.,2026-12-31,"• Hasta Gs. 2.000.000 de descuento máximo para pagos con tarjetas de crédito Mastercard Clásicas, Oro, Black, Black Premier, Metalcard Premier y, Visa Platinum e Infinite Premier del Banco GNB Paraguay a través de Travel Pay en todas las agencias de viajes del país: Ofertas Compra mínima Monto de descuento Circuitos Europa (Premium) *1000 USD (en base doble) Gs. 2.000.000 Circuitos Europa (Básico) *700 USD (en base doble) Gs. 1.800.000 Salidas Garantizadas - Gs. 1.200.000 Paquetes *695 USD (en base doble) Gs. 700.000 Bodas Grupales - Gs. 700.000 Conciertos y Eventos - Gs. 600.000 *El monto de compra mínima aplica por persona, calculado en base a dos pasajeros. • Hasta 18 cuotas sin intereses para pagos con tarjetas de crédito del Banco GNB Paraguay","• Pagos realizados con tarjetas de crédito del Banco GNB Paraguay S.A.E.C.A. • Pagos realizados con tarjetas de crédito y/o QR a través de la pasarela de pagos Travel Pay, la cual es proveída por la empresa DTP Travel Group. • No participan de la promoción las tarjetas de débito y crédito; Visa Clásicas y Oro, de afinidades Empresariales, Corporativas, Gift Card, Gourmet y Prepagas. • La promoción aplica todos los días durante el periodo de promoción. • Beneficio aplica en todas las agencias de viajes del país que cuenten con la pasarela de pagos Travel Pay. • El beneficio aplica única y exclusivamente a paquetes de viajes. • El monto de descuento varia según ofertas. • No acumulable con otras promociones. • Los reclamos serán considerados válidos únicamente en base al último documento actualizado, el cual debe corresponder al que se encuentre vigente en la fecha de la compra reclamada.",1,a56159923af3171e65cf3b385390346bcc74098caeb2c9c4cf8a1c7bba56c57b,https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/543,https://www.beneficiosbancognb.com.py/imagenes/4944_bases-y-condiciones-gnb-travel-septiembre.pdf,
426,Universidades,Días GNB,15% de reintegro de 1 al 10 de cada mes + hasta 12 cuotas sin intereses.,2026-12-10,Del 01 de marzo al 10 de diciembre del 2026.,2026-12-10,"• 15% de reintegro para pagos con tarjetas de crédito y prepagas Mastercard afinidades Clásicas, Oro, Black, Black Premier y Metalcard Premier del Banco GNB Paraguay. • Hasta 12 cuotas sin intereses para pagos en POS con tarjetas de crédito del Banco GNB Paraguay.","• Pagos realizados con tarjetas de crédito y prepagas Mastercard Banco GNB Paraguay S.A.E.C.A. • Pagos realizados con Tarjetas de Crédito física, Apple Pay, Google Pay, QR en POS adheridos a la procesadora, , Bancard pago móvil, APP y Web del banco GNB. • No participan de la promoción las tarjetas de la marca VISA y tarjetas de débito y crédito de afinidades Empresariales, Corporativas, Gift Card, Gourmet. • La promoción aplica del 1 al 10 de cada mes durante el periodo de promoción. • No acumulable con otras promociones. • No aplica para pagos realizados a través de plataformas de terceros y/o e-commerce. • El beneficio de cuotas sin intereses aplica para pagos única y exclusivamente en POS adheridos a la procesadora Bancard. • Tope de compra durante el periodo de la promoción: Gs. 10.000.000 (guaraníes diez millones), el cual aplica en forma conjunta a todos los comercios seleccionados adheridos a la promoción en cualquiera de las sucursales de los comercios participantes. • Tope de reintegro durante el periodo de la promoción: Gs. 1.500.000.- (guaraníes un millón quinientos mil) y, se aplica por cuenta de tarjeta de crédito (titulares + adicionales). • Los reintegros serán reflejados de manera automática en el extracto del cliente, en un período de 24 a 48hs hábiles luego de la compra. • Los reclamos serán considerados válidos únicamente en base al último documento actualizado, el cual debe corresponder al que se encuentre vigente en la fecha de la compra reclamada.",2,a0e998d8ceaba341b7bfc60ca92fd1037c924796822a40be7471ab3c4c14e9b7,https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/426,https://www.beneficiosbancognb.com.py/imagenes/4567_bases-y-condiciones-cuotas-universidades-agosto.pdf,
639,La Ruta del Café,Días GNB,Hasta 25% de reintegro de miércoles a domingos.,2026-12-31,Del 01 de julio al 31 de diciembre del 2026.,2026-12-31,• Hasta 25% de reintegro* 20% de reintegro para pagos con tarjetas de crédito Mastercard del Banco GNB Paraguay. +5% de reintegro adicional para pagos con QR con tarjetas de crédito Mastercard a través de la app Banco GNB Personas.,"• Pagos realizados con tarjetas de crédito Mastercard del Banco GNB Paraguay S.A.E.C.A. • Pagos realizados con tarjetas de crédito física, Apple Pay, Google Pay y/o QR en POS adheridos a la procesadora . • No participan de la promoción las tarjetas de débito y crédito Visa, de afinidades Empresariales, Corporativas, Gift Card, Gourmet y Prepagas. • No aplica para pagos realizados a través de plataformas de terceros (Pedidos Ya, Monchis, entre otros) y/o e-commerce. • No acumulable con otras promociones. • La promoción aplica de miércoles a domingos dentro del periodo de vigencia de la promoción. • Tope de compra mensual en el conjunto de locales adheridos: Gs. 1.000.000 (guaranies un millón) por cuenta de tarjeta de crédito (incluye titulares y adicionales). • Beneficio aplica a todas las sucursales de los comercios adheridos detallados más abajo. • Los reclamos serán considerados válidos únicamente en base al último documento actualizado, el cual debe corresponder al que se encuentre vigente en la fecha de la compra reclamada.",2,9790ada2bc7139f2879997e188c9b5c8dc1f7dadb1e37521ae9ecb5a86c508eb,https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/639,https://www.beneficiosbancognb.com.py/imagenes/5255_bases-y-condiciones-la-ruta-del-cafe-septiembre-005-.pdf,
175,Cinemark,Días GNB,"50% de descuento los días jueves, viernes, sábados y domingos.",2027-02-28,Del 02 de abril del 2026 al 28 de febrero del 2027.,2027-02-28,"• 50% de descuento para funciones los días jueves, viernes, sábados y domingos para pagos realizados con las tarjetas de crédito y Prepagas del Banco GNB Paraguay S.A.E.C.A. Beneficio aplicable únicamente a compras de entradas en CINEMARK.","• Pagos realizados con tarjetas de crédito y prepagas del Banco GNB Paraguay S.A.E.C.A. • La tarjeta debe de estar guardada/catastrada en la app o web de Cinemark para aplicar al descuento. • Pagos realizados a través de la App y Web de Cinemark. • No participan de la promoción las tarjetas de débito y crédito de afinidades Empresariales, Corporativas, Gift Card y Gourmet. • Promoción válida únicamente para las funciones de los días jueves, viernes, sábados y domingos dentro del periodo de la promoción. • No acumulable con otras promociones. • No aplica a películas con restricción, contenido alternativo, Avant Premiere, festivales. • Películas con restricción se refiere a que las películas en estreno que no están habilitadas para descuentos hasta por un máximo de 2 semanas: • Beneficio no aplica a consumición en la confitería de Cinemark. • El descuento aplica sobre la tarifa adulto de fin de semana según formato elegido, aplica a todos los formatos disponibles. Tarifario full Price: Nuestros Cines - Cinemark. • Tope de descuento: Hasta 4 entradas por cada transacción. Este límite es por transacción de tarjeta. • Los reclamos serán considerados válidos únicamente en base al último documento actualizado, el cual debe corresponder al que se encuentre vigente en la fecha de la compra reclamada.",2,eafb52493e1e97f2c92fee9047ca533ecdc64ee05e57445c4ef1530d632402c2,https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/175,https://www.beneficiosbancognb.com.py/imagenes/4743_bases-y-condiciones-cinemark-007-.pdf,
275,Petrobras PREMMIA,Días GNB,20% de descuento para pagos desde la app Premmia los miércoles.,2026-12-30,Del 01 de julio al 30 de diciembre del 2026.,2026-12-30,"• 20% de descuento para pagos desde la app Premmia con tarjetas de crédito Mastercard Clásicas, Oro, Black, Black Premier y Metalcard Premier del Banco GNB Paraguay.","• Pagos realizados con tarjetas de crédito Mastercard Banco GNB Paraguay S.A.E.C.A. • Pagos realizados única y exclusivamente desde la app Premmia adheridos a la procesadora • No participan de la promoción las tarjetas de débito, y crédito Visa; de afinidades Empresariales, Corporativas, Gift Card, Gourmet y Prepagas. • No acumulable con otras promociones. • Beneficio no aplica a compras vía web. • No aplica para pagos realizados a través de plataformas de terceros. • Beneficio aplica única y exclusivamente los días MIERCOLES dentro del periodo de promoción • Tope de compra semanal: Gs. 500.000 (guaraníes quinientos mil) • El tope de compra aplica por cuenta de tarjeta de crédito (titulares + adicionales). • El producto Diesel Euro 5 (diesel común) está excluido del beneficio. • Los reintegros serán reflejados de manera automática en el extracto del cliente, en un período de 24 a 48hs hábiles luego de la compra. • Los reclamos serán considerados válidos únicamente en base al último documento actualizado, el cual debe corresponder al que se encuentre vigente en la fecha de la compra reclamada.",6,5fda40cb2c841d4fb19a58eca2354ba76d02e8a7a0f63bcc464c1d9e6ba20d61,https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/275,https://www.beneficiosbancognb.com.py/imagenes/4261_bases-y-condiciones-petrobras.pdf,
421,Colegios,Días GNB,10% de descuento y hasta 12 cuotas sin intereses del 1 al 10 de cada mes.,2026-11-10,Del 01 de febrero al 10 de noviembre del 2026.,2026-11-10,"• 10% de descuento para pagos con tarjetas de crédito y prepagas Mastercard afinidades Clásicas, Oro, Black, Black Premier y Metalcard Premier del Banco GNB Paraguay. • Hasta 12 cuotas sin intereses para pagos en POS con tarjetas de crédito del Banco GNB Paraguay.","• Pagos realizados con tarjetas de crédito y prepagas Mastercard Banco GNB Paraguay S.A.E.C.A. • Pagos realizados con Tarjetas de Crédito física, Apple Pay, Google Pay, QR en POS adheridos a la procesadora, , Bancard pago móvil, APP y Web del banco GNB. • No participan de la promoción las tarjetas de la marca VISA y tarjetas de débito y crédito de afinidades Empresariales, Corporativas, Gift Card, Gourmet. • La promoción aplica del 1 al 10 de cada mes durante el periodo de promoción. • No acumulable con otras promociones. • No aplica para pagos realizados a través de plataformas de terceros y/o e-commerce. • El beneficio de cuotas sin intereses aplica para pagos única y exclusivamente en POS adheridos a la procesadora Bancard. • El beneficio para pagos realizados a través de pago de servicios aplica a partir del 6 de febrero. • Tope de compra durante el periodo de la promoción: Gs. 10.000.000 (guaraníes diez millones), el cual aplica en forma conjunta a todos los comercios seleccionados adheridos a la promoción de “Vuelta a clases - Colegios” en cualquiera de las sucursales de los comercios participantes. • Tope de reintegro durante el periodo de la promoción: Gs. 1.000.000.- (guaraníes un millón) y, se aplica por cuenta de tarjeta de crédito (titulares + adicionales). • Los reintegros serán reflejados de manera automática en el extracto del cliente, en un período de 24 a 48hs hábiles luego de la compra. • Los reclamos serán considerados válidos únicamente en base al último documento actualizado, el cual debe corresponder al que se encuentre vigente en la fecha de la compra reclamada.",2,c8df5558fe737962822f768c1b5bb4c5150b989e95ece30dec67ac86e29a0877,https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/421,https://www.beneficiosbancognb.com.py/imagenes/4527_bases-y-condiciones-cuotas-colegios.pdf,
323,Peluquerías & Spa,Días GNB,Hasta 25% de reintegro + 3 cuotas sin intereses los días viernes y sábado.,2026-11-28,Del 02 de enero al 28 de noviembre del 2026.,2026-11-28,"• 25% de reintegro para pagos vía QR con tarjetas de crédito Mastercard afinidades Black, Black Premier y Metalcard Premier del Banco GNB Paraguay. • 20% de reintegro para pagos con tarjetas de crédito Mastercard afinidades Black, Black Premier y Metalcard Premier del Banco GNB Paraguay. • Hasta 3 cuotas sin intereses para pagos con tarjetas de crédito Mastercard afinidades Black, Black Premier y Metalcard Premier del Banco GNB Paraguay.","• Exclusivo para pagos realizados con tarjetas de crédito Mastercard del Banco GNB Paraguay S.A.E.C.A. • Pagos realizados con tarjetas de crédito física, Apple Pay, Google Pay y/o QR en POS adheridos a la procesadora . • No participan de la promoción las tarjetas de débito; tarjetas de crédito marca VISA; afinidades Empresariales, Corporativas, Gift Card y Gourmet Card. • Beneficio aplica única y exclusivamente los días Viernes y Sábado durante el periodo de la promoción. • Beneficio no acumulable con otras promociones. • Tope de compra mensual en el conjunto de locales adheridos: Gs. 1.500.000 (guaranies un millón quinientos mil) por cuenta de tarjeta de crédito (incluye titulares y adicionales). • Los reclamos serán considerados válidos únicamente en base al último documento actualizado, el cual debe corresponder al que se encuentre vigente en la fecha de la compra reclamada.",1,41716eac3ac3b08c14dfcc4f952b29ad2f9172ec13a925bcb87993090cffc980,https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/323,https://www.beneficiosbancognb.com.py/imagenes/5002_bases-y-condiciones-bienestar-belleza-peluquer%C3%ADas-spa-oct.pdf,
