ID GNB,Comercio,Categoría GNB,Resumen publicado,Vigencia inicial API,Vigencia final API,Texto visible de la ficha,URL de la promoción,Ya representada en la app,Revisión
260,La Ruta Gastronómica,Días GNB,Hasta 25% de reintegro los días sábados y domingos.,2024-11-30,2026-11-29,"Los sábados y domingos hasta 25% de reintegro. | Del 05 de septiembre al 29 de noviembre del 2026. | 25% de reintegro para pagos con tarjetas de crédito Mastercard Black, Black Premier y Metalcard Premier. | 20% de reintegro para pagos con tarjetas de crédito Mastercard Clásica y Oro. | Ticket mínimo de compra: Gs. 250.000 (guaraníes doscientos cincuenta mil) para aplicar al reintegro, compras menores no aplican a la promoción. | El descuento será aplicado vía reintegro en el extracto al cierre o podrá visualizarlo a través de la app en los movimientos mensuales de su tarjeta. | Tope de compra mensual en el conjunto de locales adheridos: Gs. 1.000.000 (guaranies un millón) por cuenta de tarjeta de crédito (incluye titulares y adicionales). | No aplica para pagos realizados a través de plataformas de terceros como Pedidos ya, Monchis entre otros. | Beneficio no acumulable con otras promociones. | La promoción aplica para pagos realizados a través del delivery propio de los locales.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/260,sí,source_start_date_stale; merchant_group_not_geocodable
408,Bares & Restó,Días GNB,Hasta 25% de descuento de miércoles a domingos.,2025-01-09,2026-12-31,"Hasta 25% de descuento de miércoles a domingos. | Del 02 de enero del 31 de diciembre del 2026 | Hasta 25% de reintegro* 20% de reintegro para pagos con tarjetas de crédito MasterCard del Banco GNB Paraguay. +5% de descuento adicional para pagos con QR con tarjetas de crédito MasterCard a través de la app Banco GNB Personas. | El reembolso será vía reintegro en el extracto al cierre o podrá visualizarlo en su app en los movimientos mensuales de su tarjeta. | Tope de compra mensual en el conjunto de locales adheridos: Gs. 1.500.000 (guaranies un millón quinientos mil) por cuenta de tarjeta de crédito (incluye titulares y adicionales). | No aplica para pagos realizados a través de plataformas de terceros (Pedidos Ya, Monchis, entre otros) y/o e-commerce. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/408,sí,source_start_date_stale; merchant_group_not_geocodable
148,Copetrol,Días GNB,Hasta 30% off los lunes.,2024-03-01,2026-12-28,"Hasta 30% off todos los lunes en estaciones adheridas. | Del 06 de julio al 28 de diciembre del 2026. | Hasta 30% off con tarjetas de crédito Mastercard Metalcard, Black y Black Premier del Banco GNB Paraguay (25% off para pagos con tarjeta de crédito física + 5% adicional para pagos realizados con QR). | Hasta 20% off con tarjetas de crédito Mastercard Clásica, Oro del Banco GNB Paraguay (15% off para pagos con tarjeta de crédito física + 5% adicional para pagos realizados con QR). | Reembolso vía reintegro en extracto, el cual será reflejado al cierre o podrá visualizarlo en su App en los movimientos mensuales de su tarjeta. | Tope de compra mensual por cuenta de Tarjeta de crédito (Incluye titulares y adicionales) Gs. 1.000.000 (guaraníes un millón) | Aplica para pagos con la app “Copetrol Vamos” en Estaciones Seleccionadas. | El beneficio en Copemarket aplica para compras en tienda física y online. | No acumulable con otras promociones. | Se excluyen de la promoción pagos con tarjetas de débito y crédito Visa y afinidades Empresariales, Corporativas, Gift Card, Gourmet y Prepagas. | Para más información acerca de las estaciones adheridas y del beneficio visitar las bases y condiciones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/148,sí,source_start_date_stale
543,GNB Travel+,Días GNB,Hasta Gs. 2.000.000 de descuento máximo + Hasta 18 cuotas sin intereses todos los días.,2025-11-17,2026-12-31,"Hasta Gs. 2.000.000 de descuento máximo + Hasta 18 cuotas sin intereses todos los días. | Del 01 de septiembre al 31 de diciembre del 2026. | Hasta Gs. 2.000.000 de descuento máximo para pagos con tarjetas de crédito Mastercard Clásicas, Oro, Black, Black Premier, Metalcard Premier y, Visa Platinum e Infinite Premier del Banco GNB Paraguay a través de Travel Pay en todas las agencias de viajes del país. | Hasta 18 cuotas sin intereses para pagos con tarjetas de crédito del Banco GNB Paraguay. | El beneficio aplica única y exclusivamente a paquetes de viajes. | El monto de descuento varia según ofertas. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/543,sí,source_start_date_stale
426,Universidades,Días GNB,15% de reintegro de 1 al 10 de cada mes + hasta 12 cuotas sin intereses.,2025-02-28,2026-12-10,"15% de reintegro de 1 al 10 de cada mes + hasta 12 cuotas sin intereses. | Del 01 de marzo al 10 de diciembre del 2026. | 15% de reintegro para pagos con tarjetas de crédito y prepagas Mastercard afinidades Clásicas, Oro, Black, Black Premier y Metalcard Premier del Banco GNB Paraguay. | Hasta 12 cuotas sin intereses para pagos en POS con tarjetas de crédito del Banco GNB Paraguay. | El descuento será aplicado vía reintegro en el extracto del cliente lo cual será reflejado al cierre o podrá visualizarlo en su app en los movimientos mensuales de su tarjeta. | Tope de compra durante el periodo de la promoción: Gs. 10.000.000 (guaraníes diez millones), el cual aplica en forma conjunta a todos los comercios seleccionados adheridos a la promoción de “Potenciá tus estudios Universitarios” en cualquiera de las sucursales de los comercios participantes. | Tope de reintegro durante el periodo de la promoción: Gs. 1.500.000.- (guaraníes un millón quinientos mil) y, se aplica por cuenta de tarjeta de crédito (titulares + adicionales). | No aplica para pagos realizados a través de plataformas de terceros y/o e-commerce. | Los reintegros serán reflejados de manera automática en el extracto del cliente, en un período de 24 a 48hs hábiles luego de la compra. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/426,sí,source_start_date_stale
639,La Ruta del Café,Días GNB,Hasta 25% de reintegro de miércoles a domingos.,2026-07-01,2026-12-31,"Hasta 25% de reintegro de miércoles a domingos. | Del 01 de julio al 31 de diciembre del 2026. | 20% de reintegro para pagos con tarjetas de crédito Mastercard del Banco GNB Paraguay. +5% de reintegro adicional para pagos con QR con tarjetas de crédito Mastercard a través de la app Banco GNB Personas. | Tope de compra mensual en el conjunto de locales adheridos: Gs. 1.000.000 (guaranies un millón) por cuenta de tarjeta de crédito (incluye titulares y adicionales). | No aplica para pagos realizados a través de plataformas de terceros (Pedidos Ya, Monchis, entre otros) y/o e-commerce. | El reembolso será vía reintegro en el extracto al cierre o podrá visualizarlo en su app en los movimientos mensuales de su tarjeta. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/639,sí,
175,Cinemark,Días GNB,"50% de descuento los días jueves, viernes, sábados y domingos.",2025-01-03,2027-02-28,"50% de descuento los días jueves, viernes, sábados y domingos. | Del 02 de abril del 2026 al 28 de febrero del 2027. | 50% de descuento para funciones los días jueves, viernes, sábados y domingos para pagos realizados con las tarjetas de crédito y Prepagas del Banco GNB Paraguay S.A.E.C.A. | Tope de descuento: Hasta 4 entradas por cada transacción. Este límite es por transacción de tarjeta. | La tarjeta debe de estar guardada/catastrada en la app o web de Cinemark para aplicar al descuento. | El descuento será aplicado al momento del pago. | Beneficio no aplica a consumición en la confitería de Cinemark. | No aplica a películas con restricción, contenido alternativo, Avant Premiere, festivales. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/175,sí,source_start_date_stale
275,Petrobras PREMMIA,Días GNB,20% de descuento para pagos desde la app Premmia los miércoles.,2024-01-01,2026-12-30,"20% de descuento para pagos desde la app Premmia los miércoles. | Del 01 de julio al 30 de diciembre del 2026. | 20% de descuento para pagos desde la app Premmia con tarjetas de crédito Mastercard Clásicas, Oro, Black, Black Premier y Metalcard Premier del Banco GNB Paraguay. | El descuento será vía reintegro en extracto el cual será reflejado al cierre o podrá visualizarlo en su app Banco GNB Personas en los movimientos mensuales de su tarjeta. | Tope de compra semanal: Gs. 500.000 (guaraníes quinientos mil), el tope de compra aplica por cuenta de tarjeta de crédito (titulares + adicionales) | Los reintegros serán reflejados de manera automática en el extracto del cliente, en un período de 24 a 48hs hábiles luego de la compra. | El producto Diesel Euro 5 (diesel común) está excluido del beneficio. | No aplica para pagos realizados a través de plataformas de terceros. | Beneficio no aplica a compras vía web. | No acumulable con otras promociones | Consultar Bases y Condiciones para informaciòn de las estaciones adheridas.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/275,sí,source_start_date_stale
421,Colegios,Días GNB,10% de descuento y hasta 12 cuotas sin intereses del 1 al 10 de cada mes.,2025-01-31,2026-11-10,"10% de descuento y hasta 12 cuotas sin intereses del 1 al 10 de cada mes. | Del 01 de febrero al 10 de noviembre del 2026. | 10% de descuento para pagos con tarjetas de crédito y prepagas Mastercard afinidades Clásicas, Oro, Black, Black Premier y Metalcard Premier del Banco GNB Paraguay. | Hasta 12 cuotas sin intereses para pagos en POS con tarjetas de crédito del Banco GNB Paraguay. | El beneficio de cuotas sin intereses aplica para pagos única y exclusivamente en POS adheridos a la procesadora Bancard | El descuento será aplicado vía reintegro en el extracto del cliente lo cual será reflejado al cierre o podrá visualizarlo en su app en los movimientos mensuales de su tarjeta. | Tope de compra durante el periodo de la promoción: Gs. 10.000.000 (guaraníes diez millones), el cual aplica en forma conjunta a todos los comercios seleccionados adheridos a la promoción de “Vuelta a clases - Colegios” en cualquiera de las sucursales de los comercios participantes. | Tope de reintegro durante el periodo de la promoción: Gs. 1.000.000.- (guaraníes un millón) y, se aplica por cuenta de tarjeta de crédito (titulares + adicionales). | No aplica para pagos realizados a través de plataformas de terceros y/o e-commerce. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/421,sí,source_start_date_stale
323,Peluquerías & Spa,Días GNB,Hasta 25% de reintegro + 3 cuotas sin intereses los días viernes y sábado.,2026-05-17,2026-11-28,"Hasta 25% de reintegro + 3 cuotas sin intereses los días viernes y sábado. | Del 02 de enero al 28 de noviembre del 2026. | 25% de reintegro para pagos vía QR con tarjetas de crédito Mastercard afinidades Black, Black Premier y Metalcard Premier del Banco GNB Paraguay. | 20% de reintegro para pagos con tarjetas de crédito Mastercard afinidades Black, Black Premier y Metalcard Premier del Banco GNB Paraguay. | Hasta 3 cuotas sin intereses para pagos con tarjetas de crédito Mastercard afinidades Black, Black Premier y Metalcard Premier del Banco GNB Paraguay. | Los reintegros serán realizados de manera automática en la tarjeta del cliente, el cual será reflejado en el extracto y en los movimientos mensuales de su tarjeta en la aplicación del banco. Para el fraccionamiento de las cuotas el cliente deberá solicitar/seleccionar la cantidad de cuotas que desea al momento del pago. Las cuotas se verán reflejadas en el extracto del cliente. | Tope de compra mensual en el conjunto de locales adheridos: Gs. 1.500.000 (guaranies un millón quinientos mil) por cuenta de tarjeta de crédito (incluye titulares y adicionales). | Consulte las bases y condiciones para información acerca de los locales adheridos.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/323,sí,
