id,bank,category,merchant_name,address,city,department,lat,lng,geocode_source,source_url
loc-bnf-b503118f81afab11,BNF,Combustible,COPETROL,Eusebio Lillo y Capitán Emeterio Miranda.,Asunción,Capital,-25.2929781,-57.5615254,google_places_text_search,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_SEP_2026_0c00026515.pdf
loc-bnf-c4ad7a33085b0a01,BNF,Combustible,COPETROL,Avda. Eusebio Ayala esq. Bartolomé.,Asunción,Capital,-25.3069377,-57.6021812,google_places_text_search,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_SEP_2026_0c00026515.pdf
loc-bnf-0a75a89c1dc2abaf,BNF,Combustible,COPETROL,Avda. España esq. San José.,Asunción,Capital,-25.2855564,-57.6193897,google_places_text_search,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_SEP_2026_0c00026515.pdf
loc-bnf-32f4f8b830da2b06,BNF,Combustible,COPETROL,Facundo Machain y RI 18 Pitiantuta.,Asunción,Capital,-25.3118748,-57.5686447,google_places_text_search,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_SEP_2026_0c00026515.pdf
loc-bnf-0016ea88540a558f,BNF,Combustible,PETROCHACO,Avda. Médicos del Chaco esq. Ecuador.,Asunción,Capital,-25.3256179,-57.6019292,google_places_text_search,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_SEP_2026_0c00026515.pdf
loc-bnf-1b6ac68a85681e75,BNF,Combustible,PUMA ENERGY,Avda. Felix Bogado y Cassanello.,Asunción,Capital,-25.3084626,-57.6316035,google_places_text_search,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_SEP_2026_0c00026515.pdf
loc-bnf-135f22e026cd4fff,BNF,Combustible,COPETROL,Soldado Ovelar y Calle Asunción.,Fernando de la Mora,Central,-25.3320354,-57.565415,google_places_text_search,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_SEP_2026_0c00026515.pdf
loc-bnf-246bf21d7c2e8a35,BNF,Combustible,COPETROL,Calle Guyra Campana esq. Arasa.,Fernando de la Mora,Central,-25.3080571,-57.5408295,google_places_text_search,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_SEP_2026_0c00026515.pdf
loc-bnf-2f713dee2fa4e356,BNF,Combustible,COPETROL,Augusto Roa Bastos y Antillas.,Lambaré,Central,-25.3256612,-57.6107547,google_places_text_search,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_SEP_2026_0c00026515.pdf
loc-bnf-9e2c01121d45a35f,BNF,Combustible,PUMA ENERGY,Avda. Cacique Lambaré esq. Panchito López.,Lambaré,Central,-25.3436854,-57.6178257,google_places_text_search,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_SEP_2026_0c00026515.pdf
