reason,bank,category,merchant_name,address,city,department,geocode_source,google_confidence,google_name,formatted_address,lat,lng,source_url
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Avda. Santa Teresa esq. Julio César Franco,Asunción,Capital,google_places_text_search,review,Estación de Servicio Shell Bahia - Centro,"Pdte. Franco 215 esquina, Asunción 001013",-25.278923,-57.6387698,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Médicos del Chaco esq. Dr. Alonso Belisario Campos,Asunción,Capital,google_places_text_search,review,Servicio Médico Familiar,"Tte. José María Fariña &, Paraguari, Asunción 001103",-25.2909297,-57.6339957,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Diego Lopez c/ Curupayty,Capiatá,Central,google_places_text_search,review,Ex combatiente Sgto. Diego López Godoy,"MH32+W5C, Capiatá 110207",-25.3451841,-57.4496073,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Avenida Primavera c/ Emilio Gab. Km. 20,Capiatá,Central,google_places_text_search,review,Estación de Servicios Copeg “La Primavera S.R.L”,"JHGR+96Q, Capiatá 110225",-25.3740391,-57.4093912,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Soldado Ovelar esq. Ceferino Ruiz,Fernando de la Mora,Central,google_places_text_search,review,Petrosur Soldado Ovelar,Fernando de la Mora 110322,-25.3265097,-57.5602534,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Fortín Toledo esq. Herminio Giménez,Fernando de la Mora,Central,google_places_text_search,review,Petropar JAT Avenida 11,"11 de Setiembre, &, Fernando de la Mora 110320",-25.3374345,-57.5606497,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Usher Ríos esq. Ceferino Ruiz,Fernando de la Mora,Central,google_places_text_search,review,3MG - FDO. DE LA MORA - USHER RIOS,"MC3F+HJP, Fernando de la Mora 110330",-25.3460439,-57.5759355,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,San Isidro y Bonifacio Ovando,Lambaré,Central,google_places_text_search,review,ENERGY San Isidro - GRUPO CRISMA,"JCV2+FJF, Francisco Acuña de Figueroa, Lambaré 110717",-25.3563239,-57.5984383,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Avda. San Isidro esq. La Fortuna,Lambaré,Central,google_places_text_search,review,ENERGY San Isidro - GRUPO CRISMA,"JCV2+FJF, Francisco Acuña de Figueroa, Lambaré 110717",-25.3563239,-57.5984383,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Avda. San Joseé esq. Tsunesaburo,Limpio,Central,google_places_text_search,review,Copetrol Av. San José - Limpio,"RGRG+878, Limpio 110813",-25.1592146,-57.4743077,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Avda. Francisco Solano López,Limpio,Central,google_places_text_search,review,3MG LIMPIO - SAN FRANCISCO SOLANO,"RG7V+RWC, Limpio 110825",-25.1854339,-57.4552412,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
