Categoría,Banco,Comercio/Promoción,Cantidad de descuento / beneficio,Día de promoción,Vigencia,Montos / topes,Detalle,Imagen URL,Bases y condiciones URL,URL categoría,Tarjetas verificadas,Variante,Tipo de variante,Etiqueta de variante
Electrodomésticos,Coop. Universitaria,BRISTOL,Hasta 10 cuotas sin intereses,Todos los días,Vigencia Desde el 01 de abril de 2026 hasta el 31 de diciembre de 2026,,"Hasta 10 cuotas sin intereses. Beneficio indicado en las bases. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria.",https://www.universitaria.coop/assets_front/img/promos/10-cuotas-sin-intereses1775478054.jpg,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1775478054.pdf,https://www.universitaria.coop/promociones/post/electrodomesticos,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1775478054-bristol-0,base,Beneficio indicado en las bases
Electrodomésticos,Coop. Universitaria,ELECTROBAN,5% de descuento en productos HD Play,Todos los días,Vigencia Desde el 04 de junio de 2026 hasta el 31 de diciembre de 2026,,"5% de descuento en productos HD Play. Línea HD Play. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria.",https://www.universitaria.coop/assets_front/img/promos/electroban1784915762.png,https://www.universitaria.coop/assets_front/img/promos/bases1784915440.pdf,https://www.universitaria.coop/promociones/post/electrodomesticos,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases1784915440-electroban-0,base,Línea HD Play
Electrodomésticos,Coop. Universitaria,ELECTROBAN,Hasta 10 cuotas sin intereses,Todos los días,Vigencia Desde el 04 de junio de 2026 hasta el 31 de diciembre de 2026,,"Hasta 10 cuotas sin intereses. Compras con tarjetas de crédito. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria.",https://www.universitaria.coop/assets_front/img/promos/electroban1784915762.png,https://www.universitaria.coop/assets_front/img/promos/bases1784915440.pdf,https://www.universitaria.coop/promociones/post/electrodomesticos,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases1784915440-electroban-1,base,Compras con tarjetas de crédito
Electrodomésticos,Coop. Universitaria,Olier,Hasta 10 cuotas sin intereses,Todos los días,Vigencia Desde el 01 de abril de 2026 hasta el 31 de diciembre de 2026,,"Hasta 10 cuotas sin intereses. Beneficio indicado en las bases. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria.",https://www.universitaria.coop/assets_front/img/promos/10-cuotas-sin-intereses1775479168.jpg,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1775479168.pdf,https://www.universitaria.coop/promociones/post/electrodomesticos,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1775479168-olier-0,base,Beneficio indicado en las bases
Electrodomésticos,Coop. Universitaria,TUPI,Hasta 10 cuotas sin intereses,Todos los días,Vigencia Desde el 01 de abril de 2026 hasta el 31 de diciembre 2026,,"Hasta 10 cuotas sin intereses. Beneficio indicado en las bases. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria.",https://www.universitaria.coop/assets_front/img/promos/10-cuotas-sin-intereses1775479487.jpg,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1775479487.pdf,https://www.universitaria.coop/promociones/post/electrodomesticos,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1775479487-tupi-0,base,Beneficio indicado en las bases
Electrónica,Coop. Universitaria,Cellshop Importados Paraguay,Hasta 10 cuotas sin intereses,Todos los días,Vigencia Desde el 10 de junio de 2026 hasta el 10 de junio de 2027,,"Hasta 10 cuotas sin intereses. El 10% de descuento solo corresponde a fechas especiales no anunciadas. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria.",https://www.universitaria.coop/assets_front/img/promos/10-cuotas-sin-intereses1782924869.jpg,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1781619937.pdf,https://www.universitaria.coop/promociones/post/electronica,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1781619937-cellshop-importados-paraguay-0,base,El 10% de descuento solo corresponde a fechas especiales no anunciadas
Electrónica,Coop. Universitaria,Nissei,Hasta 10 cuotas sin intereses,Todos los días,Vigencia Desde el 01 de abril de 2026 hasta el 31 de diciembre de 2026,,"Hasta 10 cuotas sin intereses. Beneficio indicado en las bases. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria.",https://www.universitaria.coop/assets_front/img/promos/10-cuotas-sin-intereses1775478932.jpg,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1775478932.pdf,https://www.universitaria.coop/promociones/post/electronica,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1775478932-nissei-0,base,Beneficio indicado en las bases
Estaciones De Servicio,Coop. Universitaria,Estaciones ENERGY,20% de reintegro con QR,todos los días,Vigencia Desde el 15 de julio hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 500.000. Tope mensual de reintegro o descuento: Gs. 100.000.,"20% de reintegro con QR. Pago con QR en la app Universitaria. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 500.000. Tope mensual de reintegro o descuento: Gs. 100.000.",https://www.universitaria.coop/assets_front/img/promos/estaciones-energy1784140359.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1784217351.pdf,https://www.universitaria.coop/promociones/post/estaciones-de-servicio,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1784217351-estaciones-energy-0,base,Pago con QR en la app Universitaria
Estaciones De Servicio,Coop. Universitaria,Estaciones ENERGY,10% de reintegro con tarjeta física,todos los días,Vigencia Desde el 15 de julio hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 500.000. Tope mensual de reintegro o descuento: Gs. 50.000.,"10% de reintegro con tarjeta física. Pago con tarjeta de crédito física. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 500.000. Tope mensual de reintegro o descuento: Gs. 50.000.",https://www.universitaria.coop/assets_front/img/promos/estaciones-energy1784140359.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1784217351.pdf,https://www.universitaria.coop/promociones/post/estaciones-de-servicio,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1784217351-estaciones-energy-1,base,Pago con tarjeta de crédito física
Estética,Coop. Universitaria,BELLMONT BARBERÍA,20% de descuento en servicios,Todos los Días,Vigencia Desde el 24 de noviembre de 2025 hasta el 24 de noviembre de 2026,,"20% de descuento en servicios. Beneficio indicado en las bases. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria.",https://www.universitaria.coop/assets_front/img/promos/20-de-descuento1764702833.jpg,https://www.universitaria.coop/assets_front/img/promos/1764702833.pdf,https://www.universitaria.coop/promociones/post/estetica,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-1764702833-bellmont-barber-a-0,base,Beneficio indicado en las bases
